lead_id,priority_tier,supplier_fit,lead_score,company_name,category,sub_category,area,contact_approach,phone,whatsapp,email,website,hardware_need,buying_trigger,expansion_signal,verification_status,address,source_type,source_url,size_hint,notes
L0001,A,Skip - govt/tender,97,Surat Smart City Development Ltd (SSCDL),Government & PSU,Smart City SPV,Surat,Director & CEO / Project (CCTV) cell / Tender section (RFP route),+91-261-2423750,,info@suratsmartcity.com,https://www.suratsmartcity.com/,city-wide CCTV + command-center; data-center servers + storage; networking + Wi-Fi; AMC (tender/GeM),Suman Eye CCTV network rollout; ICCC command-control center commissioned ~Rs69 cr,Ongoing surveillance + sensor expansion under Smart City Mission,Contact found,"1st Floor, South Zone Office, SMC, Opp. Satyanagar, Udhna, Surat-394210",Official company site,https://www.suratsmartcity.com/SSCDL/Management,SPV for smart-city projects; ICCC operator,Issued SUMAN Eye CCTV RFP (SSCDL-SumanEye-RFP-01-2018); Delta video walls in command center; CEO listed as Ms. Swati P. Desai per snippet
L0002,A,Skip - very large,97,Kira Diam,Lab-Grown Diamond,CVD diamond grower / exporter,Khajod (Surat Diamond Bourse) / Magob,Owner/Director or IT Manager (CEO Mehul Vaghani),+91 261 691 4500,,infosurat@kiradiam.com,https://kiradiam.com/,GPU workstations for planning/grading; large reactor-control PC fleet; data-center rack servers + storage; large-scale CCTV + access control; core/distribution switches + Wi-Fi; AMC,World's largest CVD grower; expanded 2600 to 4000 reactors recently; CEO Mehul Vaghani,"Expanded to 4000 reactors (2026), 75MW solar scaling to 150MW, 250k polished carats/month",Contact found,A-1201 Surat Diamond Bourse Block 117 Dream City Khajod Surat 395007; also Plot 1 Block 26 FP-39 Opp Ashirwad Textile Market Magob 395010,Company website,https://kiradiam.com/contact-us/,"Very large - 4000+ reactors, 1M sq ft, 250000 carats/month",GJEPC-reported expansion to 4000 reactors; flagship enterprise account
L0003,A,Skip - large enterprise,95,"ArcelorMittal Nippon Steel India (AM/NS, ex-Essar Steel) Hazira",GIDC Manufacturing,Steel / Process Plant,Hazira,IT Manager / Plant Head / Purchase,,,,https://www.amns.in/,ERP/SAP servers + storage; large desktop fleet; industrial/rugged PCs; very large-area CCTV; enterprise networking + Wi-Fi; biometric access; AMC,Integrated steel plant; ongoing capacity expansion plans at Hazira,Major steel producer; large brownfield expansion plans,Existence-verified (contact pending),"27 km, Surat-Hazira Road, Hazira, Surat 394270, Gujarat",Company website,https://www.amns.in/contact-us,Very Large (integrated steel plant),Flat/long steel; acquired by ArcelorMittal-Nippon 2019
L0004,A,Skip - large enterprise,95,Larsen & Toubro (A.M. Naik Heavy Engineering Complex),GIDC Manufacturing,Heavy Engineering / Process Plant Equipment,Hazira,IT Manager / Plant Head / Purchase,+91 261 2203252,,ltshf.sales@larsentoubro.com,https://www.larsentoubro.com/heavy-engineering/,ERP/SAP servers + storage; large engineering workstation fleet; industrial/rugged PCs; very large-area CCTV; enterprise networking + Wi-Fi; biometric access; AMC,Critical large-sized ultra-heavy equipment for process plant & nuclear sectors; ongoing orders,Major manufacturing complex; defence/nuclear/process plant focus,Contact found,"Gate No. 10, A M Naik Heavy Engineering Complex, PO Bhata, Surat 394510, Gujarat",Company website,https://www.larsentoubro.com/heavy-engineering/capabilities/manufacturing-facilities/hazira,Very Large (750+ acres; ultra-heavy equipment; nuclear/process plant),1.6 km waterfront; heavy forgings & special steels
L0005,A,Skip - large enterprise,95,Reliance Industries Ltd - Hazira Manufacturing Division,GIDC Manufacturing,Petrochemicals / Polymers / Polyester,Hazira,IT Manager / Plant Head / Purchase,,,,https://www.ril.com/,ERP/SAP servers + storage; very large desktop fleet; industrial/rugged PCs; very large-area CCTV; enterprise networking + Wi-Fi; biometric access; AMC,Multi-product integrated complex; ongoing petrochem investments,Major integrated petrochemicals/polyester complex,Existence-verified (contact pending),"Hazira Manufacturing Division, Surat, Gujarat",Wikipedia / company,https://en.wikipedia.org/wiki/Hazira_Manufacturing_Division,Very Large (multi-product integrated petrochem complex),"Petrochemicals, polymers, polyesters, intermediates; alt source: https://www.ril.com/news-media/press-releases/reliance-industries-limited-hazira-manufacturing-division-adjudged-winner"
L0006,A,Skip - very large,95,Kiran Multi Super Speciality Hospital & Research Center,Healthcare,Multispecialty / super-speciality hospital,Katargam,Hospital Administrator / IT Manager / Purchase,+91 261 716 1111,,,https://www.kiranhospital.com/,HIS/EMR servers + storage; PACS imaging workstations (CT/MRI/nuclear med); reception/billing desktops; large LAN + Wi-Fi; CCTV; UPS-backed; AMC,In-house CT/MRI/nuclear medicine and radio-oncology imply ongoing PACS/workstation refresh,One of Gujarat's largest hospitals; cancer research center; continual expansion,Contact found,"Vasta Devdi Road, Near Sumul Dairy, Katargam, Surat 395004",Hospital website,https://www.kiranhospital.com/contact_us,~900 beds; 45+ specialties; 300+ doctors,900-bed flagship; massive imaging+HIS footprint; top priority
L0007,A,Skip - very large,95,Greenlab Diamonds LLP,Lab-Grown Diamond,CVD diamond grower / exporter,Ichhapore (Hazira Rd),Owner/Director (Patel family - Mukesh/Jitesh/Vipul Patel),+91 22 4073 0730,,info@greenlab.diamonds,https://greenlab.diamonds/,GPU workstations for diamond planning/grading; reactor-control PCs; rack servers + NAS for inventory/ERP; heavy multi-camera CCTV + access control; managed switches + enterprise Wi-Fi; AMC,World's largest LGD cultivator; pivoted natural to lab; revenue Rs 670 Cr FY24; new purpose-built factory,"Rs 670 Cr revenue FY24, 1000 reactors, 25MW solar over 90 acres, new 4-storey factory",Contact found,"C-01 to C-04, Gujarat Hira Bourse, Ichchhapore, Surat 394510",Company website,https://greenlab.diamonds/contact-us/,"Very large - 2000 employees, 1000 reactors, 95000 sq ft",One of the largest LGD growers in Surat; massive IT/security spend potential
L0008,A,Skip - very large,95,Bhatia Mobile (Bhatia Communications & Retail India Ltd),Retail & Supermarket,Mobile retail chain,"HQ Ring Rd; stores across Surat (Piplod, Honey Park, Bamroli, etc.)",IT / Purchase / Owner,+919227610000,https://wa.me/919227610000,support@bhatiamobile.com,https://bhatiamobile.com,bulk POS/billing desktops; loss-prevention CCTV; per-store networking + Wi-Fi; digital signage; back-office server; AMC,Expanding from 81 to 224 stores; entering Maharashtra,Listed company; aggressive multi-store expansion South Gujarat + Maharashtra,Contact found,132 Dr Ambedkar Shopping Centre Ring Rd Surat 395002 (registered office),Company website + Tracxn,https://bhatiamobile.com/about-us/,Largest South Gujarat mobile chain; 220+ stores (9M FY25),"HQ in Surat; listed co (BSE 540956); highest-value lead - repeat per-store fit-outs, central IT team"
L0009,A,Skip - govt/tender,94,Surat Municipal Corporation (SMC),Government & PSU,Municipal Corporation,Surat,Information Systems Dept head / Central Purchase / Tender cell (GeM + e-tender),,,,https://www.suratmunicipal.gov.in/,bulk office desktops; data-center servers + storage; city-wide CCTV + command-center; networking + Wi-Fi; AMC (tender/GeM),Smart-city e-governance digitization drive; Information Systems Dept modernization,Suman Eye CCTV expansion across schools/gardens/bus stations,Existence-verified (contact pending),"Muglisara, Main Road, Surat-395003",Official .gov.in,https://www.suratmunicipal.gov.in/,Very large ULB; many departments and zones,"Parent body for SMIMER, school board, zones; buys via tender; website returned HTTP 403 this session"
L0010,A,Skip - very large,92,Kiran Gems Pvt Ltd,Diamond & Bourse,World's largest natural polished diamond manufacturer,Varachha,Owner/Partner (Lakhani family) or IT/Security head,+91 261 250 4444,,infosurat@kirangems.com,https://www.kirangems.com/,Massive diamond-planning workstation fleet; multi-floor managed networking; large-scale CCTV + biometric access; servers + NAS/SAN; AMC,First mover to Surat Diamond Bourse; largest hi-tech machine user in industry,Global expansion; SDB office shift history,Contact found,"FP 36, A.K. Road, Varachha, Near Umiyadham Temple, Surat 395008",Company site + search snippet,https://www.kirangems.com/,Since 1985; world's largest natural diamond manufacturer; offices in Mumbai/Surat/UAE/USA,Largest user of advanced hi-tech diamond manufacturing systems
L0011,A,Skip - very large,92,Sardar Vallabhbhai National Institute of Technology (SVNIT),Education,University (NIT/Engineering),"Ichchhanath, Athwa",Director / Registrar / IT Head,0261-2259571,,director@svnit.ac.in,svnit.ac.in,computer-lab desktops (bulk); HPC/lab servers & storage; campus networking + Wi-Fi; CCTV; AMC,"Premier NIT, ongoing research lab & infra upgrades; NIRF-ranked",Continuous central-govt funded lab/research expansion,Contact found,"Ichchhanath, Surat-395007, Gujarat",Govt directory + official site,https://surat.nic.in/public-utility/sardar-vallabhbhai-national-institute-of-technology/,"Very large (NIT, thousands of students)",NIRF rank ~58; institute of national importance; large recurring IT spend; alt source: https://www.svnit.ac.in/
L0012,A,Skip - very large,92,NJ India Invest Private Limited,Finance & Professional,NBFC / Wealth distribution,Udhna,Admin,,,,https://www.njgroup.in/,large multi-seat desktops/workstations; data-centre servers + NAS backup; networking/firewall; CCTV + access control; UPS; AMC,"Diversified into AMC, insurance broking, NBFC, tech",Large HQ; nationwide distributor network,Existence-verified (contact pending),"Block No.901 & 902, 6th Floor, 'B' Tower, Udhna Udyog Nagar Sangh Commercial Complex, Central Road No.10, Udhna, Surat-394210",Company site,https://www.njgroup.in/contact-us,"Flagship NJ Group co., est. 1994; pan-India; AUM 2.9L cr+","Mutual funds, PMS, insurance, NBFC, tech, training"
L0013,A,Skip - very large,92,Aether Industries Ltd,GIDC Manufacturing,Specialty Chemicals,GIDC Sachin,IT Manager / Plant Head / Purchase,,,,https://aether.co.in/,ERP/SAP servers + storage; plant & office desktops; industrial/rugged PCs; large-area CCTV; networking + Wi-Fi; biometric access; AMC,Site 3 commercialized (Rs 190cr); Facility 4 commissioned Mar 2024; new units Gujarat ~Rs 1000cr,Multiple new manufacturing sites; IPO-funded expansion,Existence-verified (contact pending),"Plot No. 8202/1, Road No. 8, GIDC Industrial Estate, Sachin, Surat, Gujarat",Company website,https://aether.co.in/about-us/,Large (listed; ~9596 MTPA across Surat sites FY24),Advanced intermediates & active ingredients; ISO/GMP certified
L0014,A,Skip - very large,92,Anupam Rasayan India Ltd,GIDC Manufacturing,Specialty Chemicals,GIDC Sachin,IT Manager / Plant Head / Purchase,+91-261-2398991,,offeratthe@anupamrasayan.com,https://www.anupamrasayan.com/,ERP/SAP servers + storage; plant & office desktops; industrial/rugged PCs; large-area CCTV; networking + Wi-Fi; biometric access; AMC,Capacity expansion across Sachin & Jhagadia; Dec 2025 acquisition of Jayhawk Fine Chemicals (US) ~USD 150M,Pharma segment revenue share growing; new capacity; US acquisition,Contact found,"8110, Sachin G.I.D.C. Estate, Sachin, Surat 394230, Gujarat",Company website,https://www.anupamrasayan.com/investors/contact-us,Large (listed; ~30000 MT capacity; 6 plants),Listed specialty chemicals custom synthesis; 4 plants at Sachin
L0015,A,Skip - very large,92,General Group (General Polytex),Textile Manufacturing,Weaving (waterjet/airjet),Ring Road,Owner/Director (IT or Admin head),,,,https://www.generalgroup.in/,ERP/Tally servers; shop-floor & billing PCs; very large-area CCTV across multi-shed facility; networking + Wi-Fi backbone; biometric attendance; AMC,Plans IPO; scale expansion incl BOPET project,"IPO plan, BOPET film project, new capacity",Existence-verified (contact pending),"A Wing, 601/602, International Commerce Center (ICC), Near Kadiwala School, Ring Road, Surat 395002",News/Trade magazine,https://www.indiantextilemagazine.in/surat-fabric-manufacturer-general-group-combines-scale-with-sustainability-plans-ipo/,"Very large: ~800 waterjet + ~200 airjet looms, ~1cr metres/month, 1.5M sq ft",One of India's largest polyester fabric makers; massive multi-shed CCTV/network/server opportunity
L0016,A,SME - direct,90,VinFast Surat (Chandan Car),Automobile Dealership,Car dealer (EV - VinFast),Piplod,Dealer Principal / Owner,,,,https://vinfastauto.in/,DMS/billing desktops; showroom + workshop + lot CCTV; networking + guest Wi-Fi; digital signage; server/NAS; AMC,Brand-new showroom inaugurated July 2025; EV after-sales setup,First VinFast India outlet; brand expanding to 35 dealers,Existence-verified (contact pending),"Piplod, Surat (3,000 sq.ft. showroom)",News article,https://www.autocarindia.com/industry/first-vinfast-india-showroom-inaugurated-in-surat-436380,New EV dealership (first VinFast showroom in India),Promoted by Chandan Car; greenfield EV outlet = full fresh IT fitout
L0017,A,Skip - very large,90,Hari Krishna Exports Pvt Ltd,Diamond & Bourse,Diamond manufacturer & exporter,Varachha / Ichhapore,Owner/Partner (Savji Dholakia family) or IT/Security head,,,,https://www.hk.co/,Diamond-planning workstation fleet; campus-wide managed networking; large CCTV + biometric access; servers + NAS; solar/energy monitoring; AMC,Large 45-acre-scale campus; renewable energy investment; GJEPC reference,Multi-site (HK Campus + Gujarat Hira Bourse); ongoing capacity,Existence-verified (contact pending),"9 Hari Krishna Campus, Near Vraj Chowk, Behind Sarthana Jakatnaka, Varachha Road, Surat; also Plot D-02 Gujarat Hira Bourse, Ichhapore 394510",Company site + search snippet,https://www.hkimpex.com/contact/,One of largest diamond mfg units in world; 100% solar-powered Surat unit since 2018,HK Campus Varachha plus Gujarat Hira Bourse Gem & Jewellery Park unit
L0018,A,Skip - very large,90,Shree Ramkrishna Exports (SRK),Diamond & Bourse,Diamond cutting/polishing & jewellery exporter,Katargam,Owner/Partner or IT/Security head,+91 261 4040 555,,hitesh.gi@srk.me,https://srk.one/,Diamond-planning workstations at scale; campus-wide managed networking; large CCTV + biometric access; data center servers + NAS; AMC,Multiple facilities (SRK Empire + Sachin SEZ); large workforce,Large multi-site exporter; De Beers sightholder,Contact found,"99 SRK Empire, Vastadevdi Road, Katargam, Surat 395004",Company site + search snippet,https://srk.one/contact.html,Since 1964; 2000+ master artisans; also Sachin SEZ unit,SRK Empire HQ Katargam plus Sachin GIDC SEZ unit
L0019,A,Skip - very large,90,Indian Institute of Information Technology Surat (IIIT Surat),Education,University (IIIT/Engineering),"Kholvad, Kamrej (temp: SVNIT Campus, Ichchhanath)",Director / Registrar / IT Head,02621-298060,,office@iiitsurat.ac.in,iiitsurat.ac.in,computer-lab desktops (bulk); servers/storage; campus networking + Wi-Fi; CCTV; smart-class panels; AMC,New permanent campus under construction at Kholvad/Kamrej,New campus build-out = greenfield IT fit-out,Contact found,"IIIT Surat, SVNIT Campus, Ichchhanath, Surat-395007",Official site + Wikipedia,https://www.iiitsurat.ac.in/,"Large & growing (IT-focused, est. 2017)",PPP-mode institute of national importance; IT-centric = high per-student hardware
L0020,A,Skip - very large,90,Ami Organics Ltd (Acutaas Chemicals Ltd),GIDC Manufacturing,Specialty Chemicals / Pharma Intermediates,GIDC Sachin,IT Manager / R&D Head / Purchase,,,,https://www.amiorganics.com/,ERP/SAP servers + storage; plant & office desktops; industrial/rugged PCs; large-area CCTV; networking + Wi-Fi; biometric access; AMC,Rs 190cr brownfield plant Ankleshwar; ~3x capacity expansion completed FY24-Q4FY25,Renamed Acutaas 2025; new facility commenced ops,Existence-verified (contact pending),"Plot No 440/4,5,6,8206-B,478,479 & 494, Road No 82/A & 82/C, GIDC, Sachin, Surat",Company website,https://www.amiorganics.com/,Large (listed; 5 facilities; 130+ R&D team),DSIR-certified R&D at Sachin; advanced pharma intermediates
L0021,A,Skip - large enterprise,90,KRIBHCO (Krishak Bharati Cooperative Ltd) Hazira,GIDC Manufacturing,Fertilizer / Process Plant,Hazira,IT Manager / Plant Head / Purchase,0261-2862766,,chandrasekharan@kribhcosurat.com,https://www.kribhco.net/,ERP servers + storage; plant DCS-adjacent desktops; industrial/rugged PCs; large-area CCTV; networking + Wi-Fi; biometric access; AMC,Large process plant operations; possible distillery/diversification,Established cooperative fertilizer major at Hazira,Contact found,"Hazira Fertilizer Complex, P.O. KRIBHCO Nagar, Surat 394515, Gujarat",Company website,https://www.kribhco.net/contact.html,Very Large (urea/ammonia fertilizer complex),"Nitrogenous fertilizers, primarily urea"
L0022,A,Skip - very large,90,SIDS Multi Super Speciality Hospital & Research Centre,Healthcare,Multi super-speciality hospital,Ring Road / Majura Gate,Hospital Administrator / IT Manager / Purchase,+91 261 280 0000,,sids.adm@gmail.com,https://www.sidshospital.com/,HIS/EMR servers + storage; PACS workstations; new-building structured cabling + networking + Wi-Fi; CCTV; UPS; AMC,Just transformed to multi-super-speciality and RELOCATED to new facility (fresh fit-out),Active relocation + service expansion = greenfield IT buying,Contact found,"Off Ring Road, Near Shell Petrol Pump, Sosyo Circle Lane, Surat 395002",News / press release,https://theprint.in/ani-press-releases/sids-hospital-in-surat-transforms-into-a-multi-super-speciality-healthcare-hub-expanding-services-and-relocating-to-a-state-of-the-art-facility/1784475/,Expanded multi super-speciality; new state-of-art facility,Relocation to new facility = hot greenfield trigger
L0023,A,Skip - very large,90,Kalamandir Jewellers Limited,Jewellery,Large retailer/showroom chain,Athwa (Ghod Dod Road),Owner/Director or Admin manager,+91 261 229 5000,,,https://kalamandirjewellers.com/,high-density CCTV + access control (critical); POS/billing PCs; jewellery showroom networking + Wi-Fi; server/NAS; AMC,Multiple showrooms across Gujarat/Maharashtra; corporate house at Vesu,New corporate house + Vesu/Dumas Road showrooms,Contact found,"Plot No-124, Ghod Dod Rd, near Indoor Stadium Lane, Athwa, Surat, Gujarat 395007",directory,https://www.helloindia.co/Surat/Kalamandir-Jewellers-Ltd/Surat-Ho/ContactUs,"Large (650+ staff, multi-state chain)",Listed jeweller since 1984/1986 Kosamba; HO ph 0261-3310000 also listed
L0024,A,Skip - national chain,90,DMart (Avenue Supermarts) - Surat,Retail & Supermarket,Supermarket/Hypermarket chain,"Multiple (Adajan, Singanpor, Pandesara, Nana Varachha, Rander, Vesu)",Purchase / Regional IT,,,,https://www.avenuesupermarts.com,bulk POS/billing desktops; loss-prevention CCTV; per-store networking + Wi-Fi; back-office server/NAS; AMC,New DMart store opened Vesu Surat Dec 2025,Active expansion - 442nd store opened Vesu Dec 2025; 15+ Surat outlets,Existence-verified (contact pending),Multiple stores incl. Kalpana Chawla Marg Adajan Gam 395009; Pandesara Udhna 394221; Vesu,News + JustDial/magicpin listings,https://scanx.trade/stock-market-news/stocks/dmart-expands-retail-network-with-new-store-opening-in-surat-gujarat/27264522,15+ stores in Surat; national chain 442 stores,Largest organized grocery chain; centralized procurement likely at HO Mumbai but local store fit-outs relevant
L0025,A,Skip - very large,88,Kataria Automobiles (Maruti Suzuki Arena & Nexa),Automobile Dealership,Car dealer (Maruti Arena/Nexa),Piplod,Dealer Principal / IT Head,7572900000,https://wa.me/917572900000,contactus@kataria.co.in,https://maruti.kataria.co.in/,DMS/billing desktops; showroom + workshop + lot CCTV; networking + guest Wi-Fi; digital signage; server/NAS; AMC,Multi-outlet Arena+Nexa+workshop network in Surat,No.1 Maruti dealer; multi-city expansion across 3 states,Contact found,"Kataria Arcade, Opp. Rajhans Multiplex, Dumas Road 395007, Piplod, Surat",Brand dealer site,https://www.nexaofpiplodroad.com/contact-us,Large multi-state dealer group (Gujarat/Maharashtra/Rajasthan),Operates separate Arena (Piplod) and Nexa (Piplod/Vesu/Sisodra) outlets; high device count
